RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,pred_probs
3616,15639357,Allan,415,France,Male,46,9,134950.19,3,0,0,178587.36,0.9686549189359689
2696,15639946,Sazonova,597,Germany,Female,39,8,162532.14,3,1,0,36051.46,0.9686236377365661
556,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,0.9685924318629928
5221,15753174,Thompson,571,Germany,Male,37,9,139592.98,3,1,0,104152.65,0.9685294694231933
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,0.9684909133728968
8102,15588955,Mazzi,581,Germany,Female,43,5,93259.57,3,1,0,141035.65,0.9684889210832804
417,15720559,Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,0.9684122897246088
6876,15665283,Brookes,610,France,Female,57,7,72092.95,4,0,1,113228.82,0.9679453174577696
3205,15603942,Hawthorn,547,Germany,Male,50,3,81290.02,3,0,1,177747.03,0.9675953182720038
2739,15662098,Palmer,650,Spain,Male,41,3,128808.65,3,0,0,113677.53,0.9672861945563168
4027,15606641,Beggs,762,Germany,Male,56,10,100260.88,3,1,1,77142.42,0.9670278249843234
4197,15796910,Tsui,625,Spain,Female,57,7,0.0,1,0,0,84106.17,0.9668837407424306
5089,15734610,Onio,543,France,Male,42,4,89838.71,3,1,0,85983.54,0.9665209270632001
2751,15767474,Lorenzo,481,France,Female,57,9,0.0,3,1,1,169719.35,0.966515461181686
4038,15807563,Ch'iu,841,France,Female,52,5,0.0,1,0,0,183239.71,0.966460852096848
377,15583456,Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,0.9664146489557823
3033,15800061,Moretti,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,0.9663597006460767
5905,15664270,Balsillie,692,Germany,Male,45,6,142084.04,4,1,0,188305.85,0.966353928961786
7026,15711446,Sinclair,569,Spain,Female,51,3,0.0,3,1,0,75084.96,0.9663264812157031
706,15580148,Welch,750,Germany,Male,40,5,168286.81,3,1,0,20451.99,0.9661258084661982
5094,15787255,Manfrin,650,Germany,Female,55,2,140891.46,3,1,1,179834.45,0.9660730061394003
2350,15787907,Wang,719,Germany,Female,42,5,137227.04,3,1,0,149097.38,0.965859481096574
2191,15609998,Okwudilichukwu,700,Germany,Female,59,5,137648.41,1,1,0,142977.05,0.9658069214820644
4672,15808674,Ejikemeifeuwa,616,Germany,Female,45,6,128352.59,3,1,1,144000.59,0.965708164845409
4968,15743817,Hargreaves,621,Germany,Male,40,8,174126.75,3,1,0,172490.78,0.9642557047688529
2542,15679770,Smith,611,France,Female,61,3,131583.59,4,0,1,66238.23,0.9640891701532074
8453,15601410,Tien,744,Spain,Female,46,1,0.0,3,1,1,177431.59,0.964051409339228
2933,15724858,Begum,688,France,Female,54,9,0.0,1,1,0,191212.63,0.9640034835842867
567,15651674,Billson,438,Spain,Female,54,2,0.0,1,0,0,191763.07,0.9638068348604344
421,15810418,T'ang,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,0.9637193908969124
777,15712551,Shen,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,0.9635899907427637
881,15585362,Simmons,749,France,Female,60,6,0.0,1,1,0,17978.68,0.9633578564505004
6198,15645200,Chiang,581,Germany,Female,54,2,152508.99,1,1,0,187597.98,0.9631947575333639
1087,15708063,Walker,712,France,Male,36,2,100749.5,3,0,0,70758.37,0.9628496680841003
8885,15749583,Bellucci,686,Germany,Female,38,2,93569.86,3,0,0,10137.34,0.9628124750583023
8954,15592925,Giordano,711,Spain,Male,42,3,177626.77,3,0,1,16392.72,0.9627601947937883
922,15743411,Chiawuotu,609,Spain,Male,61,1,0.0,1,1,0,22447.85,0.9627102960508817
7572,15768342,Bolton,718,France,Male,52,8,79475.3,3,1,1,32421.32,0.9626931233975576
3794,15584037,Denisov,727,Germany,Male,58,5,106913.43,1,1,0,25881.0,0.962374844988758
7258,15648681,Voronoff,747,France,Female,47,5,139914.6,4,0,1,129964.56,0.9621888626870921
3086,15571059,Martin,734,France,Female,54,3,0.0,1,1,0,130805.54,0.9621335169007459
3828,15654733,Hsieh,794,Germany,Male,57,3,117056.46,1,1,0,93336.93,0.9618298641301041
7801,15795759,Bergamaschi,698,Germany,Female,52,1,107906.75,1,1,0,168886.39,0.9617862179898218
3131,15813113,Chang,795,Spain,Female,56,5,0.0,1,1,0,35418.69,0.961777275200153
9154,15636977,Trevisan,507,Germany,Male,36,9,118214.32,3,1,0,119110.03,0.9616651717183787
1069,15680303,Gibson,594,France,Male,57,6,0.0,1,1,0,19376.56,0.9616442215526007
2415,15806027,Niu,556,France,Female,52,9,0.0,1,1,0,175149.2,0.9610779722043173
9221,15600399,Trentino,598,France,Male,60,4,0.0,1,1,0,197727.14,0.9609627944346555
8769,15677310,Christie,761,Germany,Male,62,5,98854.34,1,0,0,86920.97,0.9608916999078129
5571,15645847,P'eng,569,Germany,Male,35,2,109196.66,3,1,0,109393.19,0.9608460987341187
905,15794580,Ch'en,599,France,Male,58,4,0.0,1,0,0,176407.15,0.9603978092138096
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,0.9603751816132811
8763,15765173,Lin,350,France,Female,60,3,0.0,1,0,0,113796.15,0.9601953806482438
2348,15746708,Ritchie,589,Germany,Male,55,7,119961.48,1,1,0,65156.83,0.9601724074304812
8472,15612478,Somadina,525,France,Male,51,10,0.0,3,1,0,171045.35,0.9600654324005108
539,15794142,Ferreira,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,0.9597744326834388
4115,15647008,Adams,624,Germany,Male,54,3,116726.22,1,1,0,110498.1,0.9593921766855154
3207,15596761,Hawdon,515,Germany,Male,60,9,113715.36,1,1,0,18424.24,0.9592805960564293
5389,15669664,Thompson,574,Germany,Male,54,1,99774.5,1,0,0,4896.11,0.9590028136711463
314,15797960,Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0.9588643532607274
8684,15599329,Christopher,697,France,Female,49,7,195238.29,4,0,1,131083.56,0.9588327853217111
6059,15684868,Cameron,668,Germany,Male,56,9,110993.79,1,1,0,134396.64,0.9587858490010224
632,15811762,Pickering,583,Germany,Female,54,6,115988.86,1,1,0,57553.98,0.9586831472492561
5298,15683416,Russo,572,Germany,Male,51,8,97750.07,3,1,1,193014.26,0.958508914514184
599,15637476,Alexandrova,683,Germany,Female,57,5,162448.69,1,0,0,9221.78,0.9584606033776822
618,15766575,Larionova,612,Germany,Female,62,8,140745.33,1,1,0,193437.89,0.958346212088156
5858,15813659,Folliero,594,France,Female,56,7,0.0,1,1,0,26215.85,0.9583220728725963
1097,15813168,Maslova,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,0.958294728422646
6965,15569249,Howarth,576,France,Female,55,6,44582.07,3,0,1,67539.85,0.9578037030495389
1489,15625824,Kornilova,596,Spain,Male,30,6,121345.88,4,1,0,41921.75,0.957696560945458
2778,15776233,Kruglova,758,Germany,Female,61,8,125397.21,1,1,0,182184.09,0.957693653698418
3775,15691785,Findlay,850,France,Male,61,1,0.0,1,1,0,53067.83,0.957675542089245
7730,15681007,Yen,850,France,Female,35,2,128548.49,4,1,0,75478.95,0.9576673882978088
3899,15750156,Yu,662,Germany,Male,59,2,104568.41,1,1,0,8059.44,0.9574964524013923
1877,15664754,Steele,640,Germany,Male,39,9,131607.28,4,0,1,6981.43,0.9573056222549619
3176,15764604,Sutherland,586,France,Female,35,7,164769.02,3,1,0,119814.25,0.9571223428063674
6735,15723318,Mactier,619,France,Female,55,0,0.0,3,0,0,60810.64,0.9569026297734742
6813,15605059,Mackie,576,Germany,Male,63,3,148843.56,1,1,0,69414.13,0.9566061888072792
4733,15653937,McIntyre,638,Germany,Female,53,1,123916.67,1,1,0,16657.68,0.9565910445261354
2028,15606613,Samson,655,France,Female,59,7,0.0,1,1,0,88958.49,0.9563066182987773
7009,15638610,Kennedy,635,Germany,Female,65,5,117325.54,1,1,0,155799.86,0.9560514152588397
8851,15590201,Fiorentini,500,Spain,Female,50,5,0.0,4,1,1,83866.35,0.9558884803034858
5943,15695339,Lucchesi,517,Germany,Male,53,0,109172.88,1,1,0,54676.1,0.9556788855629239
5660,15638607,Nwabugwu,546,France,Female,52,2,0.0,1,1,0,137332.37,0.9556368215730155
3113,15622478,Greaves,698,France,Female,40,7,105061.74,3,1,0,107815.31,0.9555620257741843
8554,15791321,Nwora,682,Spain,Female,58,4,0.0,1,1,0,176036.01,0.9554842208024613
536,15776780,He,608,France,Male,59,1,0.0,1,1,0,70649.64,0.9546721010889703
4265,15761294,Manna,667,Germany,Female,56,8,137464.04,1,1,0,130846.79,0.9545148230687313
7085,15571415,Okwudiliolisa,805,Germany,Male,56,6,151802.29,1,1,0,46791.09,0.9545102067368013
9801,15640507,Li,762,Spain,Female,35,3,119349.69,3,1,1,47114.18,0.9544719112180686
2107,15659931,Ibezimako,637,Germany,Female,55,1,123378.2,1,1,0,81431.99,0.9543825676858744
6277,15768471,Wagner,554,Germany,Female,54,6,108755.0,1,1,0,40914.32,0.9542694868317546
8254,15746515,Greece,750,France,Male,36,7,136492.92,3,1,1,26500.29,0.9540956260039811
3727,15608344,Dawson,749,Germany,Female,29,7,137059.05,3,1,0,102975.72,0.954004799082365
2916,15617482,Milanesi,489,Germany,Female,52,1,131441.51,1,1,0,37240.11,0.953747678985825
6173,15656822,Day,568,Germany,Male,43,5,87612.64,4,1,1,107155.4,0.9536854998109722
4560,15668248,Quinn,528,Germany,Female,62,7,133201.17,1,0,0,168507.68,0.9534347623983029
9324,15815316,Kennedy,644,France,Male,50,9,76817.0,4,1,0,196371.13,0.9531937346476876
4002,15792064,Pai,545,Germany,Male,53,5,114421.55,1,1,0,180598.28,0.9528980307104351
6344,15793455,Tien,627,Spain,Female,55,6,0.0,1,0,0,91943.94,0.9526792741460047
7182,15621423,Lavrentyev,736,France,Female,42,7,117280.23,3,0,0,41921.06,0.9526581111025416
5115,15721460,Lorenzo,678,France,Male,60,8,185648.56,1,0,0,192156.54,0.9520457859637187
8461,15658982,Napolitani,650,Germany,Female,28,5,122034.4,3,0,1,146663.43,0.9519501492355803
2169,15805260,Wood,705,Germany,Female,56,2,143249.67,1,1,0,88428.41,0.9519016698551229
3941,15659736,Herbert,716,Germany,Male,66,5,121411.9,1,0,0,10070.4,0.9518752083535744
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,0.9518731983256496
9566,15752294,Long,582,France,Female,38,9,135979.01,4,1,1,76582.95,0.951797161692004
8389,15806570,Y?an,763,France,Female,53,4,0.0,1,1,0,77203.72,0.9515360296023124
3247,15579212,Chuang,638,France,Male,57,6,0.0,1,1,0,33676.48,0.9515253297682048
2576,15592736,Lucchese,551,Germany,Male,54,5,102994.04,1,1,0,176680.16,0.9509730152894306
5572,15708867,Niu,684,Spain,Female,38,3,134168.5,3,1,0,3966.5,0.9503226224195271
2917,15704583,Chikwado,651,France,Male,56,2,0.0,1,1,0,114522.68,0.9503180735709299
7318,15734008,Bartlett,727,Germany,Male,59,5,152581.06,1,1,0,71830.1,0.9502423845858577
8222,15774358,Robertson,443,Germany,Male,59,4,110939.3,1,1,0,72846.58,0.950205146548078
7160,15798895,Okonkwo,525,France,Female,59,6,55328.4,1,1,0,83342.73,0.9499682185215907
3252,15750335,Paterson,850,Germany,Male,43,0,108508.82,3,1,0,184044.8,0.9497652438217682
7659,15666297,Abramova,706,Spain,Female,53,3,0.0,3,0,0,88479.02,0.94972042919466
2547,15755178,Ramos,660,France,Male,50,1,0.0,3,1,1,191849.15,0.9495274619915085
6525,15743293,Waters,651,Germany,Female,35,1,163700.78,3,1,1,29583.48,0.9493812424628485
9578,15807120,Oluchukwu,841,Germany,Female,52,3,112383.03,1,1,0,85516.37,0.9492289864590231
9603,15603135,Boni,634,Germany,Female,59,3,95727.05,1,0,0,97939.4,0.9491874876865487
3153,15724161,Sutton,644,France,Female,40,9,137285.26,4,1,0,77063.63,0.9491323790549261
7030,15672432,Giles,594,France,Female,53,4,0.0,1,1,0,5408.74,0.9490564188600588
2978,15655123,Dumetolisa,505,Spain,Female,45,9,131355.3,3,1,0,195395.33,0.9488314694972233
1115,15626147,Maclean,608,France,Female,62,8,144976.5,1,0,0,175836.03,0.9486937163917898
8674,15707637,Zikoranachukwudimma,765,France,Female,56,1,0.0,1,1,0,13228.93,0.9481059619587183
3181,15750447,Ozoemena,678,France,Female,60,10,117738.81,1,1,0,147489.76,0.9480524556207386
8154,15692106,Rose,606,Spain,Female,25,3,147386.72,3,1,0,45482.04,0.948044123564181
7099,15642391,Lettiere,621,Germany,Male,51,4,109978.83,1,0,0,177740.58,0.9477062470588092
7910,15570931,Grant,620,France,Male,61,5,0.0,1,0,0,31641.52,0.9475963497511605
4464,15778975,Nnonso,850,Germany,Female,70,1,96947.58,3,1,0,62282.99,0.9473003385614981
7488,15785367,McGuffog,651,France,Female,56,4,0.0,1,0,0,84383.22,0.9472526539171255
8394,15752507,K?,769,Germany,Male,60,9,148846.39,1,1,0,192831.67,0.947106317611519
8863,15769246,Lo Duca,813,Germany,Male,59,2,135078.41,1,1,0,187636.06,0.9469652292894543
5232,15749519,Lin,822,France,Male,38,6,128289.7,3,1,0,9149.96,0.9467904648774971
6913,15679884,Hs?eh,544,France,Male,48,10,78314.63,3,1,1,103713.93,0.9466286158443935
4381,15812241,Udinese,438,Germany,Male,59,7,127197.14,1,1,0,51565.98,0.9464224377481674
2152,15588614,Walton,753,France,Male,57,7,0.0,1,1,0,159475.08,0.9462434725400793
3638,15809320,McElhone,845,Spain,Female,52,0,0.0,1,1,0,31726.76,0.9458743700393989
7217,15730287,Ugonna,679,France,Male,41,8,147726.98,3,1,0,172749.4,0.9458350985992232
1743,15578603,Alexeieva,584,Germany,Female,54,1,77354.37,1,0,0,138192.98,0.9457764084693654
7317,15811690,Bayley,793,Germany,Male,54,2,128966.13,1,0,0,18633.4,0.9457712958241239
4065,15689886,Holden,626,Germany,Male,39,10,132287.92,3,1,1,51467.92,0.9457339242957229
2313,15724223,Bronner,545,France,Female,55,5,0.0,1,0,0,10034.77,0.9457174668188704
7827,15647838,Davison,648,Germany,Female,51,2,116574.84,1,1,0,4121.04,0.9456998538074115
4436,15648967,Ch'en,698,Germany,Female,64,1,169362.43,1,1,0,84760.32,0.9454416551919759
6275,15661275,Wynn,532,Germany,Male,52,3,110791.97,1,1,0,148704.77,0.9452227426087042
1702,15605279,Francis,792,France,Male,50,9,0.0,4,1,1,194700.81,0.9452023623194514
7092,15763108,Davis,600,Germany,Male,53,7,106261.63,1,1,0,93629.66,0.945197904634694
1202,15651052,McMasters,399,Germany,Male,46,2,127655.22,1,1,0,139994.68,0.9450708624381572
4668,15596870,Marino,749,Germany,Male,54,3,144768.94,1,1,0,93336.3,0.9448732105672917
7725,15673591,Oluchukwu,842,France,Male,44,3,141252.18,4,0,1,128521.16,0.9448344067841197
298,15684173,Chang,687,Spain,Female,44,7,0.0,3,1,0,155853.52,0.9446253420650422
7089,15600975,Chiemenam,556,France,Female,54,4,150005.38,1,1,0,157015.5,0.9445503959973688
2788,15700487,Osonduagwuike,805,France,Male,46,6,118022.06,3,1,0,162643.15,0.94451251057668
1603,15751158,Mashman,571,France,Female,42,4,108825.34,3,1,0,55558.51,0.9443715471840871
9233,15635364,Gray,618,France,Female,49,9,44301.43,3,1,1,89729.3,0.9443510007799907
7397,15603565,Mackenzie,603,Spain,Female,56,5,90778.76,2,1,0,162223.67,0.9439094763052102
4512,15568006,Ukaegbunam,634,France,Female,45,2,0.0,4,1,0,101039.53,0.943899859401221
2238,15639077,Marchesi,622,France,Female,30,2,158584.82,3,1,0,142342.55,0.9434858126535646
6001,15658577,Massie,629,France,Female,37,10,99546.25,3,0,1,25136.95,0.9433981966181121
